int_id,date,Number_of_Hard_Brakes,Total_CO2,Number_of_Stops,Number_of_Vehicles,Average_Number_of_Hard_Brakes,Average_CO2,Average_Number_of_Stops,Total_length,Latitude,Longitude
124,2021-01-11,57,1084790.062,153,3670,0.01617845,307.8986302,0.043426366,0.960001423,29.4469221,-98.47956494
125,2021-01-11,6,418684.729,6,2017,0.003443482,240.2888852,0.003443482,0.863868305,29.40106944,-98.63482809
126,2021-01-11,7,414575.2299,8,2345,0.00326018,193.0842733,0.00372592,0.915616481,29.40091008,-98.63482757
128,2021-01-11,7,970310.5055,100,4174,0.002131012,295.3919597,0.030443034,0.786972613,29.53342313,-98.48772904
129,2021-01-11,5,662200.9999,48,5592,0.001166763,154.5263724,0.011200928,0.766337468,29.52096526,-98.48004673
130,2021-01-11,17,1028561.694,123,4246,0.004168812,252.2282514,0.030162581,0.960409898,29.52799614,-98.48351674
131,2021-01-11,8,982593.6253,23,4681,0.00181193,222.5488936,0.0052093,0.943213182,29.53262673,-98.48710107
132,2021-01-11,11,1079986.557,34,5169,0.002895527,284.2846122,0.008949812,0.734951135,29.54499612,-98.49032509
133,2021-01-11,33,1119285.324,54,5055,0.007863492,266.7118477,0.012867532,0.830189701,29.56211505,-98.48310868
134,2021-01-11,7,612702.4071,8,3871,0.002262921,198.0710172,0.002586195,0.799108009,29.51555777,-98.43808521
135,2021-01-11,7,767507.5852,25,4453,0.002314484,253.7691284,0.008266014,0.679189859,29.58118515,-98.4764687
136,2021-01-11,19,201191.918,27,1467,0.013521824,143.1832465,0.019215223,0.957829507,29.46252641,-98.40429654
137,2021-01-11,6,295325.3447,24,1512,0.004675796,230.1468328,0.018703183,0.848679918,29.53490933,-98.39935717
138,2021-01-11,4,320734.5775,6,1315,0.003303295,264.8702262,0.004954942,0.920845748,29.53508806,-98.39893127
139,2021-01-11,5,557792.5579,10,2412,0.002820646,314.6670689,0.005641292,0.734926855,29.37400274,-98.63798015
141,2021-01-11,5,434834.7801,5,2310,0.004389313,381.725154,0.004389313,0.493130103,29.39909617,-98.64205145
142,2021-01-11,1,185665.942,3,1766,0.000579824,107.6535228,0.001739471,0.97659231,29.37592541,-98.39351961
143,2021-01-11,31,946007.3804,147,4211,0.006276915,191.5486326,0.029764724,1.172816932,29.50327204,-98.48023122
144,2021-01-11,13,215498.3246,5,1170,0.011727132,194.3982493,0.004510435,0.947470478,29.32006578,-98.51959597
145,2021-01-11,37,1476756.783,56,5620,0.009886436,394.5908318,0.014963254,0.665925535,29.51041222,-98.53873253
146,2021-01-11,1,261256.9116,8,1577,0.000776447,202.8520719,0.006211574,0.816688889,29.36990809,-98.39569687
147,2021-01-11,7,1219336.77,49,4309,0.001666792,290.3400527,0.011667542,0.974631009,29.48523803,-98.48246876
148,2021-01-11,15,487513.7694,93,1859,0.010402124,338.0785634,0.064493166,0.775692982,29.53824963,-98.41792009
149,2021-01-11,10,556831.6498,17,3702,0.002797091,155.7508656,0.004755054,0.965732904,29.60844847,-98.50353293
150,2021-01-11,16,835862.1909,47,3699,0.004658144,243.3479118,0.013683298,0.92858727,29.60866117,-98.51650178
151,2021-01-11,15,840403.8889,24,3592,0.004615185,258.5746433,0.007384296,0.904827499,29.60632496,-98.52803001
152,2021-01-11,31,1035671.008,24,3846,0.009562892,319.4842017,0.007403529,0.842874959,29.59737594,-98.56831804
153,2021-01-11,109,1019839.908,485,3687,0.036480095,341.3197904,0.162319691,0.810396198,29.59251972,-98.58307848
154,2021-01-11,67,755267.5219,39,3093,0.026858177,302.7628133,0.015633864,0.806525972,29.5889941,-98.61389816
155,2021-01-11,7,690087.7722,19,3815,0.002018874,199.0286261,0.005479801,0.908854255,29.60834922,-98.4996143
159,2021-01-11,5,520783.7009,17,2598,0.002171277,226.1530883,0.00738234,0.886371358,29.38227273,-98.64236764
160,2021-01-11,14,559283.8656,73,2314,0.006164485,246.2640803,0.032143387,0.98144929,29.38252509,-98.64271855
161,2021-01-11,29,482877.7608,17,3133,0.010652326,177.3714246,0.006244467,0.868946734,29.40916585,-98.47957582
162,2021-01-11,37,601041.0302,20,3250,0.012728122,206.7600989,0.006880066,0.894445798,29.40933834,-98.47980562
163,2021-01-11,22,1409281.945,129,6111,0.005223016,334.5773871,0.030625868,0.689269433,29.52077282,-98.51361492
165,2021-01-11,2,41978.10161,1,898,0.003256819,68.35753553,0.001628409,0.683848755,29.32002878,-98.53527168
166,2021-01-11,23,671230.4625,165,3427,0.01342588,391.8199864,0.096316096,0.499885994,29.37891382,-98.46373949
169,2021-01-11,41,904227.184,70,3449,0.012104299,266.9521012,0.020665876,0.982089395,29.42983484,-98.48085889
170,2021-01-11,16,1019834.9,14,3736,0.006262933,399.1973477,0.005480066,0.683809855,29.42911638,-98.48147536
171,2021-01-11,3,156941.6022,5,942,0.00353219,184.782532,0.005886984,0.901625665,29.54194514,-98.38893097
172,2021-01-11,10,229106.1958,28,750,0.013586697,311.2796561,0.038042753,0.981352047,29.54221211,-98.38894338
173,2021-01-11,5,548878.7668,6,2110,0.003664191,402.2393692,0.00439703,0.646709738,29.41202476,-98.58958654
178,2021-01-11,8,270567.3039,1,1989,0.00432312,146.2118547,0.00054039,0.930374813,29.45477551,-98.40409178
179,2021-01-11,3,232121.4579,7,1194,0.002640596,204.3129768,0.00616139,0.951513625,29.53902888,-98.3907372
180,2021-01-11,30,1305145.317,82,4615,0.008766152,381.3700842,0.023960816,0.741550174,29.53701106,-98.38411727
181,2021-01-11,1,274202.1098,4,1660,0.000628958,172.4615778,0.002515832,0.957790111,29.45950546,-98.31392833
182,2021-01-11,32,684145.2456,136,2032,0.017608683,376.4655162,0.074836901,0.894333313,29.4464388,-98.40036452
183,2021-01-11,45,1338297.849,124,6265,0.008577705,255.1005314,0.023636342,0.837375676,29.48458066,-98.59479283
184,2021-01-11,24,314667.1867,142,1682,0.016644896,218.2334387,0.0984823,0.857243439,29.53822958,-98.39136769
185,2021-01-11,13,474383.0113,112,1822,0.00969328,353.7174828,0.083511334,0.736078664,29.5425994,-98.42554421
186,2021-01-11,12,538845.1381,11,2439,0.006149396,276.1310236,0.005636947,0.800086542,29.59728579,-98.35555162
187,2021-01-11,20,494027.3317,59,2633,0.008370685,206.7673548,0.02469352,0.907440474,29.58927602,-98.34999115
188,2021-01-11,4,1162117.831,43,7401,0.000659172,191.5089309,0.007086101,0.819918582,29.51776199,-98.47853269
189,2021-01-11,9,620040.2622,398,3036,0.003211543,221.2539727,0.142021553,0.923053868,29.59118663,-98.35158328
190,2021-01-11,28,990165.2726,87,3866,0.009528675,336.962961,0.029606954,0.760087648,29.40338584,-98.54415679
191,2021-01-11,8,797119.4777,28,3947,0.002515786,250.6727707,0.008805252,0.80565505,29.40346154,-98.54353704
